         Angle (radians)          Energy (kJ/mol)
           0.0000000000           10.2246468794
           0.1745329252           10.2520702254
           0.3490658504           10.2667362676
           0.5235987756           10.0234994588
           0.6981317008            9.2029729920
           0.8726646260            7.5673469668
           1.0471975512            5.1960978892
           1.2217304764            2.6442879353
           1.3962634016            0.7070917454
           1.5707963268            0.0001575300
           1.7453292520            0.8726688939
           1.9198621772            3.4530757922
           2.0943951024            7.6724772321
           2.2689280276           13.2842022509
           2.4434609528           19.8451531139
           2.6179938780           26.7006561806
           2.7925268032           32.9622081673
           2.9670597284           37.4818092610
           3.1415926536           39.1344879078
           3.3161255788           37.4022513643
           3.4906585040           32.8270211796
           3.6651914292           26.5380432214
           3.8397243544           19.6792714074
           4.0142572796           13.1344804959
           4.1887902048            7.5522792231
           4.3633231300            3.3703410407
           4.5378560552            0.8312043747
           4.7123889804            0.0000000000
           4.8869219056            0.7415015465
           5.0614548308            2.7024060002
           5.2359877560            5.2576107254
           5.4105206812            7.6167798781
           5.5850536064            9.2326411404
           5.7595865316           10.0351120446
           5.9341194568           10.2682879381
           6.1086523820           10.2508047345
           6.2831853072           10.2160588694
