         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.5399398220
           0.3490658504            1.9850619405
           0.5235987756            4.0501821979
           0.6981317008            6.2702389781
           0.8726646260            8.1036126642
           1.0471975512            9.0263164966
           1.2217304764            8.6484760861
           1.3962634016            7.0550497200
           1.5707963268            4.7799377831
           1.7453292520            2.4795141897
           1.9198621772            0.7664902665
           2.0943951024            0.0279316428
           2.2689280276            0.4018548075
           2.4434609528            1.7838307663
           2.6179938780            3.8694186330
           2.7925268032            6.1551785472
           2.9670597284            8.0514009238
           3.1415926536            9.0159195171
           3.3161255788            8.6933458787
           3.4906585040            7.1860306570
           3.6651914292            4.9886954777
           3.8397243544            2.7114553106
           4.0142572796            0.9452374474
           4.1887902048            0.0719793914
           4.3633231300            0.2543817932
           4.5378560552            1.4478746925
           4.7123889804            3.4375304701
           4.8869219056            5.7919784490
           5.0614548308            7.8885201636
           5.2359877560            9.0129828956
           5.4105206812            8.5905593970
           5.5850536064            6.7907367111
           5.7595865316            4.3719852522
           5.9341194568            2.0975365165
           6.1086523820            0.5527585624
           6.2831853072            0.0125372869
