         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.5043900288
           0.3490658504            1.8732416389
           0.5235987756            3.8512643517
           0.6981317008            5.9730226798
           0.8726646260            7.6274919175
           1.0471975512            8.2382724516
           1.2217304764            7.5942294598
           1.3962634016            5.9333618789
           1.5707963268            3.8407150933
           1.7453292520            1.9018490854
           1.9198621772            0.5475086130
           2.0943951024            0.0257797831
           2.2689280276            0.4107673293
           2.4434609528            1.6703823924
           2.6179938780            3.5943696926
           2.7925268032            5.7662986974
           2.9670597284            7.5455369394
           3.1415926536            8.2384877426
           3.3161255788            7.5454818040
           3.4906585040            5.7661490439
           3.6651914292            3.5944379556
           3.8397243544            1.6702747469
           4.0142572796            0.4110403813
           4.1887902048            0.0260108271
           4.3633231300            0.5475164895
           4.5378560552            1.9019094719
           4.7123889804            3.8404656708
           4.8869219056            5.9335246599
           5.0614548308            7.5942084558
           5.2359877560            8.2385665076
           5.4105206812            7.6275155470
           5.5850536064            5.9730436838
           5.7595865316            3.8515584077
           5.9341194568            1.8734306749
           6.1086523820            0.5043558973
           6.2831853072            0.0227131993
